Events
100
Subject,Context,Name,Time (s),Description
02,General,Event,4.57,A general (unspecified) event
02,General,Event,5.28,A general (unspecified) event
02,General,Event,5.4,A general (unspecified) event
02,General,Event,6.04,A general (unspecified) event
02,Left,Foot Off,2.33,The instant the toe leaves the ground
02,Left,Foot Strike,2.72,The instant the heel strikes the ground
02,Left,Foot Off,3.43,The instant the toe leaves the ground
02,Left,Foot Strike,3.86,The instant the heel strikes the ground
02,Left,Foot Off,4.57,The instant the toe leaves the ground
02,Left,Foot Strike,5.28,The instant the heel strikes the ground
02,Left,Foot Off,6.18,The instant the toe leaves the ground
02,Left,Foot Strike,6.61,The instant the heel strikes the ground
02,Left,Foot Off,7.3,The instant the toe leaves the ground
02,Right,Foot Off,2.86,The instant the toe leaves the ground
02,Right,Foot Strike,3.27,The instant the heel strikes the ground
02,Right,Foot Off,4.01,The instant the toe leaves the ground
02,Right,Foot Strike,4.44,The instant the heel strikes the ground
dowel,Right,Foot Off,5.4,The instant the toe leaves the ground
dowel,Right,Foot Strike,6.04,The instant the heel strikes the ground
02,Right,Foot Off,6.74,The instant the toe leaves the ground
02,Right,Foot Strike,7.13,The instant the heel strikes the ground

Devices
1000
,,025370 - Force,,,025370 - Moment,,,025370 - CoP,,,027571 - Force,,,027571 - Moment,,,027571 - CoP,,,037720 - Force,,,037720 - Moment,,,037720 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
233,0,0,0,0,-0,-0,-0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,1,0,0,0,-0,-0,-0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,2,0,0,0,-0,-0,-0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,3,0,0,0,-0,-0,-0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,4,0,0,0,-0,-0,-0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,5,0,0,0,-0,-0,-0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,6,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,7,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,8,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
233,9,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,0,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,1,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,2,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,3,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
