
Devices
1000
,,025370 - Force,,,025370 - Moment,,,025370 - CoP,,,027571 - Force,,,027571 - Moment,,,027571 - CoP,,,037720 - Force,,,037720 - Moment,,,037720 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
234,0,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,1,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,2,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,3,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,4,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,5,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,6,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,7,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,8,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
234,9,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,0,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,1,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,2,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,3,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,4,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,5,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,6,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,7,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,8,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
235,9,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,0,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,1,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,2,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,3,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,4,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,5,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,6,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,7,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,8,0,0,0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
236,9,0,0,0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,0,0,0,0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,1,0,0,0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,2,0,0,0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,3,0,0,0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,4,0,0,0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,5,0,0,0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,6,0,0,0,-0,-0,-0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,7,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,8,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
237,9,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,0,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,1,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,2,-0,-0,-0,0,0,0,200,300,0,-0,-0,-0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,3,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,4,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,5,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,6,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,7,-0,-0,-0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
238,8,0,0,0,0,0,0,200,300,0,0,0,0,0,0,0,200,903,0,0,0,0,0,0,0,603,903,0
